"filename", "language", "CSS", "TypeScript JSX", "XML", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 18, 8, 85
"/Users/leeklusky/be-for-reel/client/src/components/Slider/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Tabs/Tabs.css", "CSS", 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 66
"/Users/leeklusky/be-for-reel/client/src/components/Tabs/Tabs.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 5, 45
"/Users/leeklusky/be-for-reel/client/src/components/Tabs/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, 0, 20, 10, 100
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/TitleSearch/TitleSearch.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/TitleSearch/TitleSearch.tsx", "TypeScript JSX", 0, 145, 0, 0, 0, 0, 0, 0, 0, 23, 5, 173
"/Users/leeklusky/be-for-reel/client/src/components/TitleSearch/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UserIcon/UserIcon.css", "CSS", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/leeklusky/be-for-reel/client/src/components/UserIcon/UserIcon.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/leeklusky/be-for-reel/client/src/components/UserIcon/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
