"filename", "language", "TypeScript JSX", "CSS", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.css", "CSS", 0, 67, 0, 0, 0, -2, 12, 77
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.tsx", "TypeScript JSX", -28, 0, 0, 0, 0, -1, -1, -30
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.css", "CSS", 0, 59, 0, 0, 0, 0, 11, 70
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 0, 3, 83
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.css", "CSS", 0, -1, 0, 0, 0, 0, 0, -1
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.tsx", "TypeScript JSX", -5, 0, 0, 0, 0, -3, -2, -10
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.css", "CSS", 0, 49, 0, 0, 0, 0, 9, 58
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 3, 6, 49
"/Users/leeklusky/be-for-reel/client/src/pages/SearchResults/SearchResults.css", "CSS", 0, 27, 0, 0, 0, 0, 6, 33
"/Users/leeklusky/be-for-reel/client/src/pages/SearchResults/SearchResults.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 1, 8, 115
"/Users/leeklusky/be-for-reel/client/src/pages/SearchResults/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/UserDir.css", "CSS", 0, 27, 0, 0, 0, 0, 7, 34
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/UserDir.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leeklusky/be-for-reel/client/src/pages/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 1
