"filename", "language", "TypeScript JSX", "XML", "CSS", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/index.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/leeklusky/be-for-reel/client/src/index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/leeklusky/be-for-reel/client/src/index.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"/Users/leeklusky/be-for-reel/client/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 86
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 4, 30
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
