"filename", "language", "JSON", "JSON with Comments", "XML", "TypeScript", "Markdown", "CSS", "JavaScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 4, 52
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 2, 7
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 139, 0, 12, 18, 169
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.css", "CSS", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 17, 87
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 282, 0, 33, 38, 353
"/Users/leeklusky/be-for-reel/client/src/pages/Create/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 6, 35
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 3, 32
"/Users/leeklusky/be-for-reel/client/src/pages/Home/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 3, 8, 75
