"filename", "language", "CSS", "TypeScript JSX", "XML", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 8, 80
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 7, 10, 99
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.css", "CSS", 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 54
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.tsx", "TypeScript JSX", 0, 224, 0, 0, 0, 0, 0, 0, 0, 18, 12, 254
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.css", "CSS", 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 78
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 5, 72
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.tsx", "TypeScript JSX", 0, 140, 0, 0, 0, 0, 0, 0, 0, 12, 18, 170
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/index.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.css", "CSS", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.tsx", "TypeScript JSX", 0, 337, 0, 0, 0, 0, 0, 0, 0, 39, 46, 422
"/Users/leeklusky/be-for-reel/client/src/pages/Create/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.css", "CSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 5, 10, 105
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/FAQ/FAQ.css", "CSS", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"/Users/leeklusky/be-for-reel/client/src/pages/FAQ/FAQ.tsx", "TypeScript JSX", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 10, 152
"/Users/leeklusky/be-for-reel/client/src/pages/FAQ/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.css", "CSS", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 3, 49
"/Users/leeklusky/be-for-reel/client/src/pages/Home/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.css", "CSS", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 9, 79
"/Users/leeklusky/be-for-reel/client/src/pages/Login/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.css", "CSS", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.tsx", "TypeScript JSX", 0, 189, 0, 0, 0, 0, 0, 0, 0, 19, 16, 224
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.css", "CSS", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 65
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 4, 7, 82
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/TopMovies/TopMovies.css", "CSS", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"/Users/leeklusky/be-for-reel/client/src/pages/TopMovies/TopMovies.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"/Users/leeklusky/be-for-reel/client/src/pages/TopMovies/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/UserDir.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/UserDir.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"/Users/leeklusky/be-for-reel/client/src/pages/UserDir/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/index.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/leeklusky/be-for-reel/client/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/recoil/atoms/pollDirectoryAtom.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/leeklusky/be-for-reel/client/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/leeklusky/be-for-reel/client/src/setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/leeklusky/be-for-reel/client/src/utils/auth.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 12, 9, 64
"/Users/leeklusky/be-for-reel/client/src/utils/index.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/leeklusky/be-for-reel/client/src/utils/interfaces.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 0, 19, 25, 229
"/Users/leeklusky/be-for-reel/client/src/utils/mutations.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 6, 105
"/Users/leeklusky/be-for-reel/client/src/utils/queries.tsx", "TypeScript JSX", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 8, 156
"/Users/leeklusky/be-for-reel/client/src/utils/typeUtils.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 5, 10, 76
"/Users/leeklusky/be-for-reel/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/leeklusky/be-for-reel/package.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"/Users/leeklusky/be-for-reel/server/config/connection.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 5, 21
"/Users/leeklusky/be-for-reel/server/controllers/movie-search.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 55, 5, 13, 73
"/Users/leeklusky/be-for-reel/server/models/Genre.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"/Users/leeklusky/be-for-reel/server/models/Movie.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"/Users/leeklusky/be-for-reel/server/models/Poll.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 7, 173
"/Users/leeklusky/be-for-reel/server/models/User.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 130, 3, 11, 144
"/Users/leeklusky/be-for-reel/server/models/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
"/Users/leeklusky/be-for-reel/server/package.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/leeklusky/be-for-reel/server/schemas/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"/Users/leeklusky/be-for-reel/server/schemas/resolvers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 461, 62, 61, 584
"/Users/leeklusky/be-for-reel/server/schemas/typeDefs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 25, 200
"/Users/leeklusky/be-for-reel/server/server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 47, 3, 10, 60
"/Users/leeklusky/be-for-reel/server/utils/auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 8, 53
"/Users/leeklusky/be-for-reel/server/utils/typeUtils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 88, 14, 11, 113
"Total", "-", 1115, 3267, 1, 14, 26, 140, 68, 20, 1218, 498, 879, 7246
